NodeId,Latitude,Longitude
240949598,41.383263,2.181708
3497473230,41.383246,2.181734
3497473229,41.383211,2.181786
240950218,41.383184,2.181835
240948713,41.383122,2.181924
30647253,41.383015,2.182076
30647254,41.382740,2.181827
240952463,41.382619,2.181733
240951418,41.382537,2.181659
30647256,41.382245,2.181471
7223570815,41.382126,2.181305
30647257,41.382079,2.181239
30254229,41.381742,2.181700
2438053644,41.381690,2.181771
10194501114,41.381651,2.181821
7251841080,41.381630,2.181848
10194501113,41.381599,2.181887
10194501112,41.381517,2.181990
533663031,41.381379,2.182166
2985642417,41.381359,2.182145
209084274,41.381068,2.181854
10130471832,41.380999,2.181797
1401457939,41.380971,2.181773
209033973,41.380569,2.181438
4182135637,41.380142,2.181087
1401457886,41.379573,2.180625
4182135640,41.379312,2.180414
1401457859,41.379023,2.180197
190993191,41.378295,2.179600
1401457854,41.378112,2.179454
1400693886,41.377991,2.179356
209008836,41.377609,2.179045
194583692,41.377256,2.178768
190981829,41.376739,2.178347
8524711301,41.376392,2.178061
10174169587,41.376363,2.178037
1401606716,41.376313,2.177998
190981832,41.376225,2.177933
190981834,41.376148,2.177866
1400539552,41.376208,2.177741
6315729763,41.376383,2.177488
71710267,41.376444,2.177397
1362900017,41.376286,2.177183
100409759,41.376189,2.177051
100409760,41.376143,2.176968
100409761,41.376086,2.176813
1400747695,41.376062,2.176630
8328305433,41.376062,2.176497
1400693829,41.376062,2.176432
2264150789,41.376104,2.176216
2264150794,41.376224,2.175619
2264150798,41.376265,2.175419
100409764,41.376206,2.175376
3055465634,41.376151,2.175333
856906186,41.375735,2.174996
7251842561,41.375638,2.174822
7251842563,41.375147,2.173942
3865124116,41.374990,2.173655
7041976537,41.374944,2.173567
4538123600,41.374879,2.173446
4538123610,41.374804,2.173320
4538123609,41.374822,2.173095
4538123592,41.374828,2.173022
4538123596,41.374849,2.172714
4538123608,41.374888,2.172112
4538131133,41.374908,2.171814
4538123606,41.374914,2.171746
4538123605,41.374957,2.171003
5603009323,41.374989,2.170403
4538123477,41.374996,2.170289
4538123476,41.375000,2.170207
4538131143,41.375002,2.170166
4538123437,41.375010,2.170069
1009334217,41.375017,2.169809
4538131138,41.375019,2.169722
4538123436,41.375021,2.169665
4538123435,41.375021,2.169319
10135783608,41.375037,2.168099
1009334895,41.375038,2.168011
4538131155,41.375038,2.167953
6833338778,41.375037,2.167883
10135783606,41.375037,2.167641
4538131159,41.375037,2.167622
4538131145,41.375036,2.167570
4538123422,41.375036,2.167396
8163708756,41.375037,2.167192
4538123421,41.375040,2.166473
10135810327,41.375036,2.165724
4538123420,41.375035,2.165680
4538131170,41.375034,2.165631
4538123419,41.375037,2.165477
4538131174,41.375038,2.165357
4538131180,41.375039,2.165302
8163708755,41.375040,2.163751
10140262453,41.375039,2.163516
4538123417,41.375038,2.163479
4538120912,41.375038,2.163433
4538123416,41.375038,2.163195
4538120915,41.375038,2.162996
4538120922,41.375038,2.162929
4538123415,41.375044,2.162342
10140262444,41.375041,2.161729
4538120943,41.375041,2.161702
4538123414,41.375041,2.161680
4538120950,41.375042,2.161634
10140262450,41.375045,2.161517
4538123413,41.375047,2.161402
9981678012,41.375049,2.161177
4538120955,41.375050,2.161120
4538120961,41.375050,2.161059
4538123412,41.375052,2.160935
2813135408,41.375053,2.160745
7041698468,41.375054,2.160378
4538123411,41.375055,2.160273
10135810354,41.375055,2.160238
4538120969,41.375055,2.160220
4538120976,41.375055,2.160167
8163708754,41.375057,2.159262
6985213141,41.375058,2.158908
4538123410,41.375059,2.158855
4538120979,41.375059,2.158811
4538123409,41.375060,2.158677
10135810360,41.375062,2.158487
4538120987,41.375062,2.158468
4538123294,41.375063,2.158414
4538123407,41.375067,2.157049
10135810362,41.375065,2.156670
4538123406,41.375065,2.156630
4538123299,41.375066,2.156578
4538123405,41.375068,2.156255
6985213160,41.375070,2.155817
4538123309,41.375070,2.155801
4538123403,41.375070,2.155731
8163708752,41.375074,2.154834
4538123402,41.375075,2.154559
4538123401,41.375076,2.154512
4538123317,41.375076,2.154461
4538123400,41.375076,2.154329
8529631802,41.375077,2.154116
4538123399,41.375078,2.153973
6743214233,41.375075,2.153820
4538123398,41.375074,2.153752
4538123321,41.375074,2.153530
4538123324,41.375075,2.153443
2993922515,41.375075,2.153392
8163708751,41.375078,2.152844
6743214238,41.375081,2.152298
4538123397,41.375081,2.152258
4538123345,41.375082,2.152200
899314386,41.375082,2.152131
899314388,41.375083,2.151734
5720769809,41.375097,2.150165
771231969,41.375095,2.150112
10101245769,41.375112,2.149972
2686522116,41.375136,2.149881
10101290859,41.375148,2.149848
10101245768,41.375183,2.149758
10101290858,41.375210,2.149703
10101245767,41.375222,2.149677
1379023475,41.375285,2.149583
5720769810,41.375331,2.149532
10101290852,41.375349,2.149509
13019203,41.375385,2.149443
540056267,41.375422,2.149343
